otu	C_source	energy	energy_short
Otu000050	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu000074	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu000086	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu000087	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu000100	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu149072	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu149073	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu149074	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu149451	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu149452	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu149472	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu149475	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu149486	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu149491	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu149492	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu149493	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu149494	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu149496	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu149499	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu149501	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu149502	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu149505	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu000009	heterotroph	chemoorganotroph	org
Otu000034	heterotroph	chemoorganotroph	org
Otu000056	heterotroph	chemoorganotroph	org
Otu000109	heterotroph	chemoorganotroph	org
Otu000036	heterotroph	chemoorganotroph	org
Otu000037	heterotroph	chemoorganotroph	org
Otu000047	heterotroph	chemoorganotroph	org
Otu000011	heterotroph	chemoorganotroph/phototroph(bacteriochlorophyll)	org/photo(BCHL)
Otu000042	heterotroph	chemoorganotroph/phototroph(bacteriochlorophyll)	org/photo(BCHL)
Otu000002	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
Otu000041	heterotroph	chemoorganotroph	org
Otu000013	heterotroph	chemoorganotroph	org
Otu000029	heterotroph	chemoorganotroph	org
Otu000103	heterotroph	chemoorganotroph	org
Otu000053	heterotroph	chemoorganotroph	org
Otu000071	heterotroph	chemoorganotroph	org
Otu105110	heterotroph	chemoorganotroph	org
Otu105848	heterotroph	chemoorganotroph/chemolithotroph(S)/phototroph(bacteriochlorophyll)	org/litho(S)/photo(BCHL)
Otu105853	heterotroph	chemoorganotroph	org
Otu105854	heterotroph	chemoorganotroph/chemolithotroph(S)/phototroph(bacteriochlorophyll)	org/litho(S)/photo(BCHL)
Otu105918	heterotroph	chemoorganotroph	org
Otu105919	mixotroph	chemoorganotroph/chemolithotroph(S,NH4+)/phototroph(bacteriochlorophyll)	org/litho(S,NH4+)/photo(BCHL)
Otu105921	heterotroph	chemoorganotroph	org
Otu105923	heterotroph	chemoorganotroph	org
Otu105924	heterotroph	chemoorganotroph	org
Otu105947	heterotroph	chemoorganotroph	org
Otu105948	mixotroph	chemoorganotroph/chemolithotroph(S,NH4+)/phototroph(bacteriochlorophyll)	org/litho(S,NH4+)/photo(BCHL)
Otu105955	heterotroph	chemoorganotroph/chemolithotroph(S)/phototroph(bacteriochlorophyll)	org/litho(S)/photo(BCHL)
Otu105964	heterotroph	chemoorganotroph	org
Otu105968	heterotroph	chemoorganotroph	org
Otu105979	mixotroph	chemoorganotroph/chemolithotroph(S,NH4+)/phototroph(bacteriochlorophyll)	org/litho(S,NH4+)/photo(BCHL)
Otu106103	heterotroph	chemoorganotroph	org
Otu106109	heterotroph	chemoorganotroph	org
Otu106400	heterotroph	chemoorganotroph/chemolithotroph(S)/phototroph(bacteriochlorophyll)	org/litho(S)/photo(BCHL)
Otu000007	mixotroph	chemoorganotroph(methylotroph)	org(C1)
Otu000008	mixotroph	chemoorganotroph(methylotroph)	org(C1)
Otu000119	autotroph	chemolithotroph(NH4+)	litho(NH4+)
Otu000039	heterotroph	chemoorganotroph	org
Otu000021	heterotroph	chemoorganotroph/phototroph(rhodopsin)	org/photo(BR)
