Date	T2	T7	T9	CHL2	CHL5	CHL8	DO2	DO8
05/15/2013	57.4	56.64	56.62	6.5	7.5		9.56	9.45
05/16/2013	59.54	58.01	57.67	8.4	8.1		9.68	9.56
05/17/2013	61.7	56.3	55.49	8.1	8.8		8.9	8.46
05/18/2013	59.69	58.37	57.25	7	7.27		8.85	8.8
05/20/2013	65.55	58.23	56.97	7.6	7.7		9.34	8.49
05/21/2013	65.55	61.39	58.57	8	9		8.98	8.15
05/22/2013								
05/23/2013	64.65	60.73	57.99	7.9	7.9		8.19	7.27
05/24/2013	62.6	60.28	58.44	7.4	6.7		8.26	7.42
05/25/2013	61.93	60.28	60.28	7.2	7.2		8.48	7.75
05/26/2013	61.93	60.39	59.59	8.6	8.6		8.67	7.99
05/27/2013	61.93	60.49	58.44	9.2	10.2		8.84	7.78
05/28/2013	59.99	59.94	59.81	7.4	8.9		7.93	8.04
05/29/2013	60.67	60.04	59.81	6.8	6.9		8.3	8.03
05/30/2013	61.7	61.63	61.54	8.1	10.4		8.36	8.53
05/31/2013	64.42	64.24	64.17	8	9		8.36	8.51
06/01/2013	66.24	66.06	65.98	8.2	8.8		8.24	8.44
06/02/2013	66.69	64.9	60.62	7.9	9		7.87	7.88
06/03/2013	65.77	63.1	62.46	8.2	6.8		7.98	7.32
06/04/2013	65.55	63.79	61.65	7.7	8.1		8.35	7.44
06/05/2013	65.55	64.69	61.77	8.7	11		8.9	8.29
06/06/2013	64.08	63.21	62.91	9.1	7.2		8.59	7.74
06/07/2013	64.98	63.34	62.91	8.8	8.1		8.88	8.04
06/08/2013	65.32	63.79	62.35	8.1	7.4		9.2	7.62
06/09/2013	65.55	64.8	62.35	8.8	8.2		9.92	7.93
06/10/2013	66.34	63.34	62.35	10.5	9.8		8.46	6.72
06/11/2013	66.47	64.45	63.25	8	6.6		8.67	6.73
06/12/2013	68.04	66.38	62.46	11.5	9.9		10.77	7.72
06/13/2013	68.14	63.55	62.8	8.4	7		8.19	6.13
06/14/2013	67.48	67.06	63.46	5.8	7.3		7.48	6.52
06/15/2013	68.59	66.61	63.72	9.4	7.7		8.89	6.29
06/16/2013	68.85	68.32	68.04	10.5	8.6		8.5	8.32
06/17/2013	70.3	67.41	63.61	9.5	10.7		9.01	6.4
06/18/2013	71.1	65.71	63.72	12.6	11.5		9.54	5.77
06/19/2013	69.75	66.72	65.53	9.7	10.3		9.05	6.46
06/20/2013	70.3	68.07	65.53	9.7	9.6		10.97	6.36
06/21/2013	72.23	67.86	64.98	20.6	11.3		11.55	5.34
06/22/2013	71.65	69.78	64.38	12	12.7		9.69	6.78
06/23/2013	73.13	69.89	65.43	12.2	10.1		10.99	7.35
06/24/2013	73.13	72.27	71.56	12.8	12.2		9.13	8.83
06/25/2013	73.92	71.35	67.57	15.2	10.4		8.91	6.98
06/26/2013	74.93	69.44	68.38	8.3	7.6		9.12	6.42
06/27/2013	75.74	69.67	67.93	8.7	7.4		9.64	6.25
06/28/2013	76.64	70.68	68.72	8.6	8.1		9.53	5.74
06/29/2013	77.43	68.77	67.24	7.5	7.2		9.05	4.14
06/30/2013	75.06	70.45	69.4	7.5	12.4		8.13	5.11
07/01/2013								
07/02/2013								
07/03/2013	70.65	70.45	69.08					
07/04/2013	72.12	70.45	68.83					
07/05/2013	73.02	70.9	64.83					
07/06/2013	74.48	68.88	66.2					
07/07/2013	76.3	69.55	67.35					
07/08/2013	75.97	68.99	64.62					
07/09/2013								
07/10/2013								
07/11/2013	76.19	72.05	64.62	18	13.1		9.4	3.42
07/12/2013	76.42	71.35	63.25	20.4	20.9		9.51	2.37
07/13/2013	77.2	70.45	64.38	21.4	9.5		10.8	1.47
07/14/2013	78.22	69.55	62.22	22.2	11.4		11.48	1.15
07/15/2013	79.47	67.96	63.14	13.4	12.4		10.34	1.21
07/16/2013	81.95	68.65	62.91	13.5	18.7		10.3	0.93
07/17/2013	83.41	66.27	61.77	10.4	15.5		9.63	1.04
07/18/2013	84.09	66.72	63.61	9.8	7.4		9.01	0.76
07/19/2013	81.95	80.38	62.1	10.5	10.2		7.48	0.57
07/20/2013	82.74	66.38	62.35	8.1	9.4		7.29	1.18
07/21/2013	81.27	67.28	61.88	11.5	9.2		7.75	1.27
07/22/2013	80.15	68.99	61.43	10.7	10.2		8.22	0.94
07/23/2013	79.81	71.13	61.65	11.1	10.4		7.97	0.59
07/24/2013	78.22	66.96	62.35	11.8	12.1		7.91	1.1
07/25/2013	77.54	66.16	60.28	13.9	10.9		8.07	0.77
07/26/2013	76.42	67.96	61.54	15.1	15.8		8.62	0.85
07/27/2013	75.16	67.51	60.4	13.7	15.6		8.29	2.44
07/28/2013	73.36	70	60.73	13.1	16.5		7.86	1.39
07/29/2013	72.23	69.44	59.04	15.8	18		8.49	3.97
07/30/2013	71.91	69.1	60.06	15	11.6		9.15	7.42
07/31/2013	72.23	61.39	57.2	17.4	20.2		10.04	2.99
08/01/2013	72.23	69.67	59.04	17.1	18.6		10.8	4.97
08/02/2013	72.36	70.9	61.43	17.4	16.2		9.78	7.87
08/03/2013	72.81	65.37	58.33	13.3	17.6		9.88	2.28
08/04/2013	72.91	62.44	56.52	13.7	16.3		10.3	2.58
08/05/2013	72.46	66.61	55.94	13.4	14.4		10.55	2.64
08/06/2013	71.76	68.07	61.43	11.4	11.5		9.31	4.75
08/07/2013	72.23	70.9	58.12	12.2	11.9		9.12	2.05
08/08/2013	72.81	63	57.67	11.7	10		9.73	2.37
08/09/2013	72.81	67.28	61.2	11.2	12.3		10.02	3.01
08/10/2013	73.26	66.61	57.78	8.7	9.5		9.78	2.01
08/11/2013	73.92	66.61	60.06	8.8	6.3		10.45	3.67
08/12/2013	73.58	66.06	59.49	6.3	7.5		10.03	2.39
08/13/2013	73.02	63.79	59.49	7.8	7.3		9	1.95
08/14/2013	71.44	67.86	59.25	8.1	7.1		8.56	3.42
08/15/2013	71.2	66.38	58.57	6.7	8.3		8.77	1.53
08/16/2013	71.44	61.74	56.52	6.9	4.3		9.11	2.12
08/17/2013	72.36	59.25	56.28	8	5		9.65	2.19
08/18/2013	73.26	59.13	54.57	8.7	7		10.23	2.1
08/19/2013	74.26	57.67	54.21	7.4	5.8		9.89	3.41
08/20/2013	74.71	59.47	54.91	8.6	6.1		10.26	1.13
08/21/2013	74.93	60.28	56.62	6.7	7.9		9.24	1.11
08/22/2013	75.29	59.13	54.34	7.9	5.9		8.77	2.47
08/23/2013	74.48	60.84	56.86	5.9	5.4		8.46	2.91
08/24/2013	73.81	61.07	54.1	7.5	5.3		8.58	2.39
08/25/2013	73.92	62.44	55.94	8	7.4		9.11	2.59
08/26/2013	74.03	70.68	55.02	7.4	6.7		8.49	3.14
08/27/2013								
08/28/2013								
08/29/2013	76.87	66.83	58.57	9.3	6.5		8.81	3.07
08/30/2013	77.2	67.41	60.85	8.6	5.3		9.46	2.7
08/31/2013	76.98	60.84	57.42	9.1	6.9		8.57	1.65
09/01/2013	76.87	66.72	58.68	8.9	7.4		8.74	2.52
09/02/2013	75.85	64.69	56.39	7.8	7.7		8.7	0.62
09/03/2013	74.61	69.44	58.23	10.3	7.7		8.48	2.51
09/04/2013	73.58	70.23	60.4	8.7	5.8		8.3	4.13
09/05/2013	73.02	61.74	56.75	7.9	6.8		8.4	2.59
09/06/2013	72.57	63.9	57.07	10.1	7.3		8.94	1.47
09/07/2013	72.12	69.55	57.42	9.8	9.7		8.56	3.69
09/08/2013	71.91	62.31	55.38	9.4	8.3		8.83	3.05
09/09/2013	71.91	63.45	59.49	12	8.9		9.15	2.55
09/10/2013	72.12	71.47	60.51	11.8	9.2		8.43	7.87
09/11/2013	73.71	69.44	56.05	11.2	9.9		8.89	3.66
09/12/2013	73.47	63	57.78	10.8	5.7		9.64	2.22
09/13/2013	71.44	65.82	57.31	8.5	8.2		8.39	3.11
09/14/2013	70.09	66.16	59.36	10.3	9.4		8.86	3.49
09/15/2013	69.19	65.48	57.99	9.8	9.1		8.89	4.53
09/16/2013	67.59	67.28	57.52	7.3	7.6		8.31	7.46
09/17/2013	66.92	65.93	57.42	9.9	6.6		8.79	8.26
09/18/2013	66.34	65.37	59.25	7.9	6.7		9.05	5.89
09/19/2013	66.69	66.27	58.33	7.2	8.7		9.17	6.52
09/20/2013	67.03	66.72	66.09	7.6	7.4		8.67	8.39
09/21/2013	66.92	66.83	58.68	7.7	7.3		8.53	8.4
